Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta
12,indecisiveness,Luce,-1.6963893764928946e-06,100.00000339277875,115.12925804248104,"[0.5007, 3.7637, -3.839, -2.2292, 3.0659, -0.1776, -0.7724, -5.4074, 6.9733, 5.3311, -7.3894, -14.7224, 10.492, 1.4775, 4.1329, -3.253, 0.6846, 0.9452, 4.7527, -5.5336, 0.089, 5.3629, -7.1528, 0.5958, 1.623, -0.314, -1.4371, -1.5499, -0.4348, 1.5661, -0.2452, -0.4689, -1.6738, -0.6579, -1.2342, -1.1552, -0.0321, 3.1155, -1.6652, 4.8238, 3.137, -0.9204, -2.3596, 1.6582, -2.1961, 0.0775, -0.2672, 0.6663, 1.9599, -2.1792]"
12,indecisiveness,RUM,-92.10340366976185,284.2068073395237,299.336061989226,"[-2.0607, 0.579, 1.39, -0.3038, -0.705, -0.4373, 0.8502, -0.4545, 0.3288, 0.0278, -0.0754, 0.7013, -0.4786, -0.4306, 0.7976, -0.9869, -0.8802, -1.2603, 0.849, -0.1052, -1.3136, 0.8538, -0.5555, -0.8717, -0.1957, 1.4787, -0.395, 0.5753, 0.7271, 0.4433, 1.2711, -0.7071, -1.0433, -1.063, -0.1445, -0.947, 0.1475, 0.077, 1.0186, 0.2911, -0.4162, 0.4108, -1.0302, -0.0381, 0.3194, -0.3757, -0.0899, -0.1391, 1.657, 1.8263]"
12,indecisiveness,ARUM,-4.512696309748996e-06,100.00000902539261,115.1292636750949,"[-1.0627, -0.9545, -0.7579, -0.8042, 2.6574, 0.2198, 0.6326, -2.311, 1.178, 1.5447, -3.8724, -2.3475, 0.086, 1.684, 1.432, 0.171, -0.259, 0.3688, 2.0621, -0.279, -1.3765, 2.8035, -0.3638, -0.0789, 1.4537, -2.37, -1.767, -0.087, -1.0458, 4.0195, 3.4106, 2.1042, 2.5274, -6.0641, -6.6233, -0.7869, -0.7927, 1.2892, -1.3502, 1.8051, 1.1672, 0.0789, -0.5131, -0.594, -1.7313, -0.978, 0.782, 2.5781, 1.4272, 0.4631]"
12,indecisiveness,APUM,7.126383205574434e-05,99.99985747233589,115.12911212203818,"[0.2514, 0.8617, 0.4157, -2.092, 0.7424, 0.4083, 0.3235, -2.2208, -0.1749, 1.2531, -0.9461, -0.7293, 1.5266, 0.5849, 0.5915, -0.6442, -1.2749, 0.6248, 1.1069, -0.5349, -0.1101, 0.4052, 0.2089, -0.135, 1.2809, -0.8274, 0.2201, 0.285, -1.7492, 0.8356, -0.1699, -0.7985, -0.3135, -0.6244, -0.58, -1.491, -0.5148, 0.5842, -1.2064, 0.9911, -0.1503, -0.9999, -2.9189, -1.2741, -0.562, -1.1793, -1.7457, -1.2461, 1.172, 0.7323]"
12,experimentation,Luce,-7.873291344313486,19.746582688626972,20.351752874615066,"[-0.7205, -29.2622]"
12,experimentation,RUM,-24.09963972734326,52.19927945468652,52.80444964067461,"[-0.9788, -0.046]"
12,experimentation,ARUM,-7.873291344325165,19.746582688650328,20.35175287463842,"[-0.7205, -29.2622]"
12,experimentation,APUM,-7.074377185234759,18.14875437046952,18.753924556457612,"[-0.6505, -26.4326]"
13,indifference,Luce,-8.891600430839986,21.783200861679973,22.388371047668066,"[392.902, -54.1848]"
13,indifference,RUM,-8.891599809381296,21.78319961876259,22.38836980475068,"[3.9323, -0.542]"
