Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta
2,indecisiveness,APUM,2.842354883191702e-05,99.99994315290233,115.12919780260462,"[-1.7888, 0.1357, 2.8459, -1.0764, 3.2082, 0.2296, -1.1979, 0.2257, 0.2834, -0.7634, 1.3327, -0.1624, 1.3189, -2.5536, -2.816, 1.7554, 0.3934, -0.5412, 1.4596, -0.3687, -1.0087, -0.2678, -1.5757, -1.4532, 1.3166, -0.7714, 1.0352, -1.7377, -1.4782, -1.0132, 0.4291, 0.8549, 0.4119, -1.213, -0.9677, -0.4956, -0.4476, 1.7717, -0.452, -1.7224, -0.1962, -1.3111, 1.1009, 0.8266, 2.1247, -1.7109, 1.8915, -0.3035, -0.9166, 0.0667]"
2,experimentation,Luce,-9.7043551380026,23.4087102760052,24.01388046199329,"[0.0235, -11.4381]"
2,experimentation,RUM,-58.9076336297133,121.8152672594266,122.42043744541469,"[-0.3703, -0.3187]"
2,experimentation,ARUM,-9.70435513799311,23.40871027598622,24.01388046197431,"[0.0235, -11.4381]"
2,experimentation,APUM,-8.731258343729657,21.462516687459313,22.067686873447407,"[0.0213, -10.2963]"
3,indifference,Luce,-0.003246219168386577,4.006492438336773,4.611662624324865,"[1360.6514, 3375.3104]"
3,indifference,RUM,-3.4908009376929096e-05,4.000069816018754,4.605240002006846,"[27.5903, 58.2367]"
3,indifference,ARUM,-0.003318404565920045,4.00663680913184,4.611806995119932,"[1367.827, 3359.2941]"
3,indifference,APUM,-0.004618308692048788,4.009236617384097,4.614406803372189,"[1088.9187, 2683.2563]"
3,indecisiveness,Luce,-5.569261367230064e-06,100.00001113852274,115.12926578822503,"[3.2239, -0.0854, -3.5353, 2.581, -3.5668, -0.9696, -1.6075, 3.9153, -4.9899, -0.6674, 1.9443, -1.3944, -0.4015, 0.5464, 1.1672, -2.3422, -0.1651, -0.5155, 3.3402, -2.9378, 0.1102, 2.7116, -4.4249, 0.7795, 0.0513, 2.8222, -0.6313, 1.2371, -0.0424, 0.8174, -2.4859, 1.5145, 0.9329, -1.0428, -1.5984, -1.71, 0.1326, 1.1311, -1.4372, 0.0331, 2.6517, -0.7324, 0.1255, -0.5798, -1.0281, -1.4432, -0.0043, 1.389, -0.2629, -0.1326]"
